La préservation de l environnement est une chose ...;Les découvertes scientifiques améliorent-elles la vie ?;Fonctionnement de la justice;La société française a-t-elle besoin de se transformer ?;Sexe;Diplôme;Profession;Age
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;Non communiqué;47
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;ne sait pas;féminin;université,gde école;Non communiqué;25
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;autre emp. non qual.;75
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;ne sait pas;masculin;aucun;ouvrier spécialisé;61
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;oui;masculin;aucun;ouvrier spécialisé;65
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;artisan;33
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : ne veut pas répondre;ne sait pas;féminin;université,gde école;cadre supérieur;30
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;ne sait pas;féminin;baccalauréat (1/2);profession libérale;48
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;31
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : ne veut pas répondre;oui;féminin;université,gde école;cadre moyen;24
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;cadre moyen;58
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;cadre moyen;37
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : ne veut pas répondre;oui;féminin;université,gde école;autre employé qual.;29
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;employé de commerce;55
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);autre emp. non qual.;29
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : ne veut pas répondre;oui;féminin;BEPC-BE-BEPS;autre employé qual.;33
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;baccalauréat (1/2);cadre moyen;38
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;25
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très bon;non;masculin;BEPC-BE-BEPS;ouvrier qualifié;19
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;ne sait pas;masculin;aucun;ouvrier qualifié;39
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;ne sait pas;masculin;CEP ou fin études;personnel de service;39
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;24
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;Non communiqué;26
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;57
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;personnel de service;29
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;autre employé qual.;39
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;39
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;ouvrier qualifié;73
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;ouvrier spécialisé;76
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;personnel de service;69
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;artisan;42
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;artisan;55
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;non;masculin;CEP ou fin études;artisan;62
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;cadre supérieur;27
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : ne veut pas répondre;oui;masculin;université,gde école;autre actif;27
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;66
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;BEPC-BE-BEPS;cadre moyen;36
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;employé de commerce;25
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;employé de commerce;23
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;autre emp. non qual.;52
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);employé de commerce;33
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;personnel de service;30
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;autre emp. non qual.;64
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;Non communiqué;50
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;autre emp. non qual.;66
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;université,gde école;cadre moyen;68
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;BEPC-BE-BEPS;artisan;47
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;petit commercant;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;cadre supérieur;31
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;24
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;cadre moyen;28
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;brevet sup.;cadre moyen;32
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;autre emp. non qual.;27
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;autre employé qual.;22
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;non;féminin;aucun;employé de commerce;45
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;ouvrier qualifié;35
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;53
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;BEPC-BE-BEPS;ouvrier qualifié;32
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;ouvrier qualifié;52
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;manoeuvre;23
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);contremaître;24
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;ouvrier spécialisé;27
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;personnel de service;50
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;Non communiqué;18
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : ne veut pas répondre;ne sait pas;féminin;BEPC-BE-BEPS;employé de commerce;33
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;cadre supérieur;31
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : ne veut pas répondre;oui;féminin;baccalauréat (1/2);autre employé qual.;31
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : ne veut pas répondre;oui;féminin;baccalauréat (1/2);Non communiqué;52
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;51
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;25
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;ne sait pas;féminin;aucun;Non communiqué;67
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;66
préservation env. peu importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;petit commercant;72
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;petit commercant;47
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très bon;non;féminin;université,gde école;cadre supérieur;56
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);cadre moyen;33
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;BEPC-BE-BEPS;cadre moyen;26
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;31
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez bon;oui;masculin;BEPC-BE-BEPS;ouvrier qualifié;31
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;employé de commerce;21
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;féminin;BEPC-BE-BEPS;employé de commerce;25
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;non;masculin;BEPC-BE-BEPS;autre employé qual.;47
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;autre emp. non qual.;42
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;féminin;université,gde école;autre employé qual.;22
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);autre emp. non qual.;57
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;BEPC-BE-BEPS;ouvrier qualifié;30
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;29
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;CEP ou fin études;ouvrier spécialisé;31
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;non;masculin;CEP ou fin études;ouvrier qualifié;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;ouvrier qualifié;52
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;ouvrier qualifié;19
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez bon;non;féminin;aucun;personnel de service;62
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;Non communiqué;18
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;université,gde école;Non communiqué;22
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;université,gde école;Non communiqué;24
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;33
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;cadre moyen;35
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;personnel de service;65
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;ne sait pas;masculin;aucun;ouvrier spécialisé;75
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;ouvrier qualifié;69
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;70
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;masculin;aucun;autre emp. non qual.;66
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);profession libérale;38
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez bon;non;féminin;baccalauréat (1/2);cadre moyen;28
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : sans opinion;oui;masculin;baccalauréat (1/2);cadre moyen;29
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;48
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;université,gde école;autre actif;22
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;autre employé qual.;19
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);autre employé qual.;24
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : ne veut pas répondre;oui;féminin;baccalauréat (1/2);autre employé qual.;44
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;employé de commerce;45
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;non;féminin;baccalauréat (1/2);autre employé qual.;30
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);autre employé qual.;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;34
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);ouvrier spécialisé;33
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;BEPC-BE-BEPS;ouvrier qualifié;29
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;32
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;46
préservation env. pas du tout import.;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;aucun;ouvrier qualifié;40
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;autre emp. non qual.;56
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;personnel de service;38
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;ouvrier spécialisé;51
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);Non communiqué;21
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;masculin;baccalauréat (1/2);Non communiqué;21
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;baccalauréat (1/2);inconnu;22
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : sans opinion;oui;féminin;baccalauréat (1/2);personnel de service;32
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;60
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;oui;féminin;université,gde école;petit commercant;81
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;autre emp. non qual.;77
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;non;féminin;CEP ou fin études;autre employé qual.;64
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;aucun;contremaître;57
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;ouvrier spécialisé;78
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;ne sait pas;masculin;université,gde école;cadre supérieur;47
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;ne sait pas;masculin;baccalauréat (1/2);cadre moyen;35
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : ne veut pas répondre;oui;masculin;baccalauréat (1/2);cadre moyen;36
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;oui;féminin;baccalauréat (1/2);autre employé qual.;26
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;BEPC-BE-BEPS;autre employé qual.;21
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;autre emp. non qual.;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;employé de commerce;34
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;aucun;ouvrier qualifié;53
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;brevet sup.;ouvrier qualifié;50
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier qualifié;43
préservation env. peu importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;personnel de service;63
préservation env. pas du tout import.;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;non;masculin;baccalauréat (1/2);Non communiqué;20
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);Non communiqué;18
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;université,gde école;Non communiqué;20
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;non;féminin;BEPC-BE-BEPS;Non communiqué;86
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;CEP ou fin études;Non communiqué;42
préservation env. peu importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;masculin;baccalauréat (1/2);patron indus.commer.;68
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;ne sait pas;masculin;université,gde école;cadre moyen;71
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;université,gde école;cadre supérieur;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);cadre supérieur;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;université,gde école;profession libérale;27
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;profession libérale;40
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;université,gde école;cadre supérieur;51
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;université,gde école;patron indus.commer.;39
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;aucun;cadre moyen;68
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;cadre moyen;67
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;CEP ou fin études;employé de commerce;80
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;aucun;personnel de service;76
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : assez mauvais;oui;masculin;université,gde école;autre actif;42
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;autre;cadre moyen;33
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;féminin;aucun;cadre moyen;25
préservation env. très importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;féminin;baccalauréat (1/2);cadre moyen;33
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;cadre moyen;48
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : très mauvais;oui;masculin;baccalauréat (1/2);cadre supérieur;68
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;non;féminin;BEPC-BE-BEPS;autre employé qual.;39
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;baccalauréat (1/2);autre emp. non qual.;24
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;autre emp. non qual.;26
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;cadre moyen;45
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;BEPC-BE-BEPS;manoeuvre;62
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : sans opinion;non;féminin;BEPC-BE-BEPS;employé de commerce;27
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;non;masculin;baccalauréat (1/2);petit commercant;26
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;féminin;université,gde école;cadre supérieur;24
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;masculin;brevet sup.;cadre moyen;52
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;BEPC-BE-BEPS;cadre moyen;23
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;oui;masculin;CEP ou fin études;autre emp. non qual.;50
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;BEPC-BE-BEPS;employé de commerce;30
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;55
préservation env. assez importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;non;masculin;CEP ou fin études;ouvrier qualifié;52
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : très mauvais;oui;féminin;BEPC-BE-BEPS;ouvrier qualifié;35
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : sans opinion;oui;masculin;CEP ou fin études;contremaître;39
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;masculin;CEP ou fin études;ouvrier spécialisé;45
préservation env. assez importante;découvertes améliorent la vie : pas du tout;Fonctionnement de la justice : très mauvais;oui;féminin;CEP ou fin études;ouvrier spécialisé;29
préservation env. assez importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez bon;oui;masculin;baccalauréat (1/2);Non communiqué;18
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez mauvais;oui;féminin;baccalauréat (1/2);employé de commerce;25
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;baccalauréat (1/2);cadre moyen;26
préservation env. très importante;découvertes améliorent la vie : oui, beaucoup;Fonctionnement de la justice : assez bon;non;féminin;aucun;Non communiqué;45
préservation env. très importante;découvertes améliorent la vie : oui, un peu;Fonctionnement de la justice : assez mauvais;oui;féminin;CEP ou fin études;autre employé qual.;77
