Lecture;Ecouter musique;Cinéma;Spectacle;Exposition;Ordinateur;Sport;Marche;Voyage;Jouer musique;Collection;Activité bénévole;Bricolage;Jardinage;Tricot;Cuisine;Pêche;TV;Sexe;Age;Situation matrimoniale;Profession;Nb activités
O;O;O;N;O;N;N;O;N;O;O;N;O;N;O;N;N;3;F;(35,45];Seul;employé;10
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;F;(45,55];Divorcé;employé;0
N;O;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;1;F;(25,35];Divorcé;employé;3
N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;2;F;(55,65];Veuf;manoeuvre;3
O;O;O;N;N;O;N;O;O;N;N;N;O;N;N;N;N;2;M;(45,55];Marié;cadre;8
N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;2;F;(45,55];Seul;cadre;2
O;N;N;N;N;N;N;N;N;N;N;N;N;O;O;N;N;2;F;(55,65];Marié;NA;4
O;O;O;O;O;O;O;N;O;O;O;N;O;O;N;O;N;1;F;(25,35];Marié;cadre;14
O;O;N;N;N;N;N;O;N;N;N;N;N;O;O;O;N;3;F;(55,65];Divorcé;manoeuvre;7
O;O;N;N;N;N;N;O;N;N;N;N;O;O;N;N;N;4;M;(45,55];Divorcé;ouvrier;6
O;O;O;O;O;N;O;O;N;N;N;N;O;O;N;N;N;4;F;(25,35];Marié;employé;10
O;O;O;O;N;N;O;O;O;N;N;N;N;N;O;O;N;1;F;(55,65];Marié;ouvrier;10
O;O;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;4;F;(55,65];Seul;manoeuvre;4
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;M;(75,85];Veuf;manoeuvre;2
N;O;N;N;N;N;N;N;O;N;N;N;O;N;N;N;O;3;M;(45,55];Marié;employé;5
N;O;O;O;N;O;N;N;N;N;N;N;N;N;N;N;N;3;M;(25,35];Seul;ouvrier;5
N;O;O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;1;M;[15,25];Seul;NA;4
O;O;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;0;M;(25,35];Marié;employé;3
O;O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;4;F;(55,65];Veuf;manoeuvre;4
O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(25,35];Seul;NA;3
N;O;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;0;M;[15,25];Seul;manoeuvre;2
N;O;N;N;O;N;N;N;O;O;N;N;N;N;N;N;N;0;F;(75,85];Marié;employé;4
N;O;N;N;N;N;O;O;O;N;O;N;N;O;N;N;N;0;F;(55,65];Veuf;employé;6
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;2;M;(45,55];Divorcé;manoeuvre;1
N;N;N;N;N;N;N;O;N;N;N;N;N;N;O;O;N;2;F;(55,65];Divorcé;manoeuvre;4
O;O;O;N;N;O;O;N;N;N;N;O;N;O;N;O;N;0;M;(35,45];Seul;cadre;8
N;O;O;N;N;O;O;O;N;N;N;N;O;N;N;N;N;0;M;(45,55];Marié;cadre;6
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;M;(65,75];Veuf;employé;2
N;O;O;N;N;O;N;N;N;N;N;N;O;N;N;N;N;2;M;[15,25];Seul;manoeuvre;5
N;O;N;N;O;O;O;N;N;N;N;N;N;N;O;O;N;3;F;(25,35];Marié;employé;7
N;N;N;N;N;N;O;N;N;N;N;N;O;N;N;N;N;1;M;(25,35];Seul;employé;3
N;O;O;O;N;O;N;N;N;N;N;N;O;N;O;N;N;0;F;(25,35];Marié;employé;6
N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;O;0;M;(65,75];Marié;ouvrier;2
O;O;N;N;O;N;N;N;N;N;N;N;O;O;N;O;O;2;M;(55,65];Marié;employé;8
N;O;O;N;N;O;N;N;N;N;N;N;O;O;N;N;N;3;M;(25,35];Marié;technicien;6
N;N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;0;F;(55,65];Marié;employé;1
N;O;N;N;N;N;N;O;N;N;O;N;N;N;N;N;N;3;F;(65,75];Veuf;employé;4
N;O;N;N;N;N;N;N;N;O;N;N;N;N;O;O;N;2;F;(45,55];Marié;manoeuvre;5
O;O;N;N;N;N;N;O;N;N;N;N;N;N;N;O;N;1;F;(55,65];Marié;ouvrier;5
O;O;O;N;O;O;O;O;O;O;N;N;O;O;O;N;O;2;F;(35,45];Marié;employé;14
N;O;O;N;N;N;N;O;O;O;N;N;N;N;N;N;N;0;F;[15,25];Seul;NA;5
O;O;N;N;O;N;N;O;N;N;N;N;N;O;O;N;N;2;F;(55,65];Marié;manoeuvre;7
O;O;O;N;N;N;N;O;N;N;N;N;N;N;O;O;N;2;F;(55,65];Divorcé;ouvrier;7
O;N;N;N;O;N;N;N;O;N;N;N;N;N;N;N;N;3;F;(75,85];Seul;NA;4
O;N;N;N;N;N;N;O;O;N;N;N;N;O;N;O;N;3;M;(65,75];Marié;employé;6
N;O;O;N;N;N;N;N;N;O;N;O;O;O;N;N;N;3;M;(45,55];Marié;ouvrier;7
O;O;O;N;O;O;N;O;O;N;N;N;N;O;N;O;N;3;F;(45,55];Marié;cadre;10
O;O;O;N;N;O;O;N;N;N;N;N;N;O;O;O;N;4;F;(35,45];Divorcé;autre;9
O;O;O;O;N;N;O;O;N;N;N;N;N;N;N;N;N;3;F;(55,65];Divorcé;employé;7
O;O;O;O;O;N;N;O;O;O;O;O;N;O;O;O;N;2;F;(35,45];Marié;autre;14
O;O;N;N;N;N;O;N;O;N;N;N;O;O;N;O;N;1;M;(45,55];Marié;ouvrier;8
N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;M;(75,85];Marié;ouvrier;2
N;O;N;O;N;O;N;N;O;O;N;N;O;N;N;O;N;4;F;[15,25];Seul;autre;8
O;O;O;N;N;O;O;O;N;N;O;N;O;N;N;N;O;2;M;[15,25];Seul;ouvrier;10
O;O;N;N;N;N;N;O;N;N;N;N;N;O;O;O;N;3;F;(45,55];Marié;manoeuvre;7
O;O;N;N;N;O;N;O;N;N;O;N;N;O;O;N;N;1;F;(45,55];Marié;agent de maîtrise;8
O;O;O;O;O;O;N;N;N;N;N;N;N;N;O;O;N;3;F;(45,55];Marié;employé;9
N;O;N;N;N;N;N;O;O;N;N;N;N;N;O;O;N;4;F;(75,85];Veuf;employé;6
O;O;O;N;O;O;O;O;O;N;N;N;N;N;N;N;N;0;M;(35,45];Seul;cadre;8
O;O;N;O;O;O;N;O;O;N;N;N;N;N;O;N;N;2;M;(65,75];remarié;cadre;9
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;M;(45,55];Marié;NA;1
N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;N;2;M;(35,45];remarié;agent de maîtrise;2
O;O;O;N;N;N;N;N;N;N;N;O;O;O;N;O;N;2;F;(35,45];Marié;employé;8
N;O;O;N;N;O;N;N;N;N;N;N;N;N;N;N;N;0;F;[15,25];Seul;employé;3
N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;0;M;(75,85];Veuf;NA;1
O;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;O;4;M;(45,55];Divorcé;NA;4
O;O;O;O;O;O;O;O;O;O;N;O;O;O;N;N;N;1;M;(45,55];Marié;technicien;14
O;O;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;4;M;(65,75];Marié;cadre;4
O;N;N;N;N;N;N;O;O;N;N;N;N;O;N;O;N;4;F;(55,65];Marié;NA;6
O;O;N;N;N;N;O;O;O;N;N;O;N;N;N;O;N;3;F;(25,35];Marié;NA;8
N;N;N;N;N;N;N;N;N;N;N;O;O;N;O;O;N;2;F;(55,65];Marié;employé;5
N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;1;F;(25,35];Seul;employé;2
O;O;N;N;O;N;N;O;N;N;N;N;N;O;N;O;N;2;F;(45,55];Veuf;employé;7
N;N;N;N;N;O;O;N;O;N;N;N;O;N;N;N;O;0;M;(35,45];Marié;NA;5
O;O;N;N;N;N;O;N;N;N;N;N;O;N;N;N;O;0;M;(35,45];Divorcé;technicien;5
O;O;O;O;O;O;O;O;O;O;N;N;O;O;O;O;N;1;F;(25,35];Seul;cadre;15
N;N;N;N;O;N;N;N;N;O;N;N;N;N;N;N;N;1;F;(75,85];Divorcé;technicien;3
O;O;N;O;N;N;O;O;O;N;N;O;O;O;N;N;O;2;M;(55,65];Marié;NA;11
O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;M;(75,85];Veuf;NA;3
N;O;N;N;O;O;O;N;N;N;N;N;N;N;N;N;O;3;M;(35,45];Marié;cadre;6
O;O;N;N;N;N;N;N;N;N;N;N;O;O;N;N;N;2;M;(45,55];Marié;cadre;5
O;O;O;O;O;N;N;O;O;N;N;N;N;O;N;O;N;2;F;(45,55];Seul;cadre;10
O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;M;(75,85];Marié;ouvrier;3
O;O;N;N;N;N;N;N;N;N;N;N;O;N;N;O;N;4;M;(45,55];Marié;ouvrier;5
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;F;(55,65];Marié;NA;0
O;N;O;N;N;O;O;N;N;N;N;N;O;O;N;O;N;1;M;(25,35];Divorcé;technicien;8
O;O;N;O;O;O;N;N;N;N;N;N;N;N;N;N;N;1;M;(65,75];Seul;NA;6
N;O;N;N;N;N;N;N;N;N;N;N;N;O;N;O;O;0;M;(35,45];Marié;ouvrier;4
O;O;N;N;N;N;N;O;N;N;N;N;N;N;O;N;N;3;F;(55,65];Divorcé;employé;5
O;O;N;N;N;N;N;O;N;O;N;N;N;N;N;N;N;2;F;(45,55];Marié;employé;5
N;O;N;N;N;N;N;O;N;N;N;N;O;N;N;N;N;2;M;(45,55];Marié;NA;4
N;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;1;F;(45,55];Divorcé;NA;3
O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;F;(65,75];Veuf;agent de maîtrise;3
O;O;O;N;O;N;O;O;N;N;N;N;N;N;N;N;N;3;F;(25,35];Seul;employé;7
O;N;N;N;O;N;O;N;O;N;N;O;N;O;N;N;N;4;M;(55,65];Marié;cadre;7
N;N;N;N;N;N;N;N;N;N;N;N;N;O;O;N;N;4;F;(65,75];Marié;employé;3
O;O;N;N;O;O;O;N;O;N;N;O;O;N;N;O;N;1;M;(35,45];Marié;agent de maîtrise;10
O;N;N;N;N;O;O;O;N;N;N;N;N;O;N;N;N;2;M;(45,55];Marié;employé;6
N;O;O;N;N;O;N;N;N;N;N;N;O;N;N;O;N;2;M;[15,25];Seul;autre;6
N;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;F;(45,55];Marié;ouvrier;2
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;F;(35,45];Seul;employé;0
N;N;N;N;N;O;N;N;N;N;N;O;N;N;O;N;N;1;F;(45,55];Marié;employé;4
N;O;N;N;N;N;N;N;N;O;O;N;N;O;N;O;O;0;F;(55,65];Divorcé;employé;6
N;O;N;N;N;N;O;N;N;N;N;N;N;O;N;O;N;2;F;(35,45];Marié;cadre;5
O;N;N;O;O;O;N;N;O;N;N;N;N;O;N;O;O;0;F;(35,45];Veuf;NA;8
O;O;N;N;N;O;O;N;N;N;N;N;O;O;N;O;N;4;F;(45,55];Marié;employé;8
O;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;N;2;M;(55,65];Marié;NA;3
O;N;N;O;O;O;N;N;N;N;N;O;O;N;N;N;N;2;M;(45,55];Marié;NA;7
O;O;N;O;N;N;N;O;O;N;N;N;N;N;O;N;N;4;F;(65,75];Veuf;employé;7
N;O;O;N;N;N;O;O;O;N;O;N;N;N;N;N;N;1;M;(35,45];Seul;cadre;7
N;N;N;N;N;N;N;O;N;N;N;N;N;O;N;N;N;1;M;(65,75];Marié;NA;3
O;O;O;O;O;O;O;O;N;N;N;N;N;O;N;O;N;2;F;[15,25];Seul;NA;11
O;O;O;O;O;O;O;O;O;O;N;N;N;O;N;O;N;2;M;(45,55];Marié;cadre;13
O;O;O;N;O;O;N;O;O;N;O;N;N;N;N;O;N;3;F;(35,45];Marié;employé;10
O;O;N;N;N;O;N;O;O;N;N;N;N;O;O;N;N;2;F;(45,55];Marié;employé;8
O;O;N;N;O;N;N;N;O;N;N;N;N;N;O;N;N;4;F;(65,75];Divorcé;agent de maîtrise;6
O;O;O;N;N;N;O;O;O;N;N;O;N;N;N;N;O;3;F;(55,65];Marié;agent de maîtrise;9
O;O;O;O;O;O;O;O;O;O;N;N;O;N;N;O;O;2;M;[15,25];Seul;NA;14
O;N;N;N;N;N;N;O;N;N;N;O;O;O;N;N;O;3;M;(25,35];Marié;autre;7
O;O;N;O;N;N;N;N;N;N;N;O;O;O;N;O;N;0;M;(55,65];Marié;agent de maîtrise;7
N;N;N;N;N;N;N;N;O;N;N;N;N;N;O;O;N;4;F;(75,85];Marié;NA;4
N;O;N;N;N;O;O;N;N;O;N;N;N;O;N;N;N;3;M;(25,35];Marié;technicien;6
N;O;N;N;N;N;O;O;O;N;N;N;O;O;N;O;N;3;M;(55,65];Marié;ouvrier;8
O;O;O;N;N;O;N;N;N;N;O;N;O;N;N;N;O;3;M;(45,55];Marié;ouvrier;8
O;O;O;N;N;N;N;O;N;N;N;N;N;N;N;N;N;3;F;(75,85];Veuf;ouvrier;5
O;O;O;O;O;O;N;O;O;N;N;N;N;O;N;O;N;2;M;[15,25];Seul;manoeuvre;11
O;O;N;N;O;N;O;N;O;N;N;N;O;O;N;N;N;4;M;(75,85];Seul;employé;8
N;N;N;N;O;N;O;O;N;O;N;N;O;O;N;N;N;3;F;(55,65];Veuf;employé;7
O;O;N;N;N;O;O;O;O;O;N;N;O;O;N;O;N;2;F;(25,35];Marié;employé;11
O;O;N;O;N;O;N;O;O;O;O;O;O;O;O;O;N;0;F;(25,35];Marié;employé;13
N;O;N;N;N;O;N;N;N;N;N;N;O;N;N;N;O;4;M;(45,55];Marié;technicien;5
O;O;N;O;N;O;O;O;N;N;N;O;O;O;N;O;O;3;F;[15,25];Seul;manoeuvre;12
N;O;N;N;N;N;N;N;N;N;N;N;O;O;N;O;O;1;M;(45,55];Divorcé;ouvrier;6
O;O;N;N;N;O;N;N;N;N;N;O;O;N;O;N;O;4;F;(35,45];Marié;manoeuvre;8
N;N;N;N;O;N;O;O;O;N;N;O;O;O;N;N;N;4;M;(65,75];Marié;technicien;8
N;N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;2;M;(55,65];Marié;ouvrier;2
O;O;N;N;N;N;N;O;N;N;N;N;O;O;O;O;N;3;F;(55,65];Marié;cadre;8
N;O;N;N;N;O;N;N;N;O;N;N;N;N;O;O;N;2;F;[15,25];Seul;ouvrier;6
O;O;N;N;O;N;N;O;N;N;N;N;O;O;N;N;O;1;M;(35,45];Marié;NA;8
O;O;O;N;N;O;O;N;O;O;N;N;N;N;N;O;N;4;F;[15,25];Seul;NA;9
O;O;O;N;O;O;N;O;O;O;N;O;O;N;N;N;N;4;F;(45,55];Marié;employé;11
N;N;N;N;N;N;N;O;O;N;N;N;O;N;N;O;N;4;M;(55,65];Marié;autre;5
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;2;M;(75,85];remarié;NA;2
O;O;O;N;N;O;N;O;N;N;N;N;N;N;N;O;N;3;F;(35,45];Seul;employé;7
N;N;N;N;N;O;O;O;O;N;N;N;O;O;N;O;N;1;F;(45,55];Marié;employé;8
N;O;O;O;N;O;N;N;N;N;N;N;N;N;N;N;N;2;F;[15,25];Seul;employé;5
O;O;N;N;N;O;O;N;N;N;N;O;N;N;N;N;N;4;M;(35,45];Seul;ouvrier;6
O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;M;(55,65];Seul;ouvrier;2
O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;4;M;(75,85];Marié;NA;3
O;O;O;N;O;O;O;N;O;N;N;O;N;O;O;O;N;2;F;(55,65];Marié;cadre;12
O;N;N;N;N;N;N;O;N;N;N;N;N;O;N;O;N;4;M;(35,45];Marié;manoeuvre;5
N;N;N;O;N;N;N;N;N;N;N;N;O;N;N;N;O;1;M;(65,75];Marié;technicien;4
O;O;O;N;O;O;O;O;O;N;N;N;O;O;N;O;N;1;M;(25,35];Seul;cadre;12
O;N;N;N;N;N;N;N;O;N;N;N;N;N;O;O;N;3;F;(65,75];Marié;employé;5
N;N;N;N;N;N;N;O;N;N;N;N;N;O;N;N;N;3;M;(65,75];Marié;manoeuvre;3
O;N;N;N;N;N;N;O;N;N;N;N;N;N;N;O;N;3;F;(45,55];Marié;employé;4
O;O;O;N;N;N;N;N;O;N;N;N;O;O;N;N;N;2;M;(45,55];Marié;NA;7
O;O;O;N;N;N;N;N;N;N;N;N;O;O;N;N;N;1;F;[15,25];Seul;employé;6
O;O;N;N;O;O;O;O;O;N;O;N;O;O;N;O;O;4;M;(45,55];Veuf;agent de maîtrise;13
O;O;O;N;N;O;N;N;O;N;N;N;N;N;N;O;N;3;F;(35,45];Marié;NA;7
O;O;O;O;N;N;N;N;N;N;N;O;N;N;O;O;N;3;F;(45,55];Marié;NA;8
O;O;O;O;O;N;O;O;O;N;N;N;N;N;N;O;N;2;F;(45,55];Marié;employé;10
O;O;N;O;N;N;N;O;O;N;N;N;N;O;N;N;N;4;F;(55,65];Marié;employé;7
N;N;N;N;N;N;O;O;O;N;N;O;O;N;N;N;N;0;M;(45,55];Divorcé;ouvrier;5
O;O;O;O;N;O;O;N;O;N;O;N;N;O;N;O;O;4;M;[15,25];Seul;NA;12
O;O;N;N;O;N;N;O;O;N;N;N;O;O;N;N;N;3;M;(35,45];Marié;autre;8
O;O;N;N;N;N;N;O;O;N;N;N;N;O;N;N;N;1;M;(65,75];Marié;NA;6
O;O;O;N;N;O;N;O;N;N;N;N;N;N;N;O;N;3;F;[15,25];Seul;autre;7
N;O;N;N;N;N;N;N;N;N;N;N;O;O;N;N;N;0;M;(45,55];Marié;employé;3
O;O;N;N;N;N;N;O;N;N;N;N;O;N;N;O;N;2;M;(45,55];Divorcé;ouvrier;6
O;O;O;O;O;O;N;N;O;N;N;N;N;N;N;O;N;4;F;[15,25];Seul;NA;9
N;N;N;O;O;O;N;N;O;O;N;O;O;O;N;O;N;3;F;(35,45];Marié;employé;10
O;N;N;N;N;N;O;O;O;N;N;N;O;N;N;O;N;3;F;(45,55];Marié;employé;7
N;O;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;4;F;(55,65];Marié;employé;3
N;O;O;N;N;O;O;N;N;O;N;N;N;O;N;O;N;2;F;(25,35];Seul;employé;8
N;N;N;N;N;N;N;O;N;N;N;N;N;O;O;N;N;3;F;(55,65];Marié;NA;4
N;O;N;N;N;O;N;N;N;N;N;N;O;N;N;N;O;3;M;(45,55];Seul;employé;5
O;O;N;N;O;N;N;O;N;N;N;N;O;N;N;O;O;2;M;(45,55];Marié;ouvrier;8
O;O;N;N;N;N;N;N;O;N;N;N;O;N;N;N;N;0;M;(65,75];Marié;ouvrier;4
O;N;O;N;N;N;O;O;N;N;N;N;N;N;O;O;N;3;F;(45,55];Marié;manoeuvre;7
O;O;N;N;N;O;N;O;O;N;O;N;O;N;N;O;N;3;M;(45,55];Divorcé;ouvrier;9
O;O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;M;(65,75];Veuf;cadre;3
O;O;O;N;O;O;N;N;O;O;N;N;O;O;N;O;N;3;M;(35,45];Marié;employé;11
O;N;O;O;N;N;O;O;N;N;N;O;O;O;N;O;N;2;F;(65,75];Marié;employé;10
N;N;N;N;N;N;N;O;O;N;N;N;O;O;N;O;N;3;F;(55,65];Marié;manoeuvre;6
O;O;O;N;O;O;O;O;O;N;N;N;O;N;N;N;N;2;M;(35,45];Marié;cadre;10
O;O;O;O;O;O;N;O;O;O;O;O;O;O;O;O;N;2;F;(55,65];remarié;cadre;16
O;N;O;N;N;N;O;N;O;N;N;N;O;O;N;N;O;4;M;(45,55];Marié;agent de maîtrise;8
O;O;N;O;O;O;N;O;O;O;N;O;O;O;N;O;N;3;M;(55,65];Marié;cadre;13
O;O;N;N;O;N;O;N;O;N;N;N;O;N;N;N;N;2;M;[15,25];Seul;NA;7
N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;4;F;(65,75];Marié;employé;2
O;O;O;O;O;O;O;O;O;N;O;N;O;O;N;O;N;2;F;(45,55];Marié;NA;14
N;O;N;N;N;N;O;O;N;N;N;N;N;O;N;O;O;1;M;(55,65];Marié;NA;7
O;N;N;N;N;N;N;N;N;N;N;N;N;O;N;N;N;4;M;(65,75];Marié;manoeuvre;3
O;O;O;O;O;N;N;O;O;N;N;N;N;N;N;O;N;3;F;(55,65];Divorcé;ouvrier;9
O;N;N;N;N;N;N;O;N;N;N;N;N;O;N;N;N;0;M;(85,100];Marié;ouvrier;3
O;O;O;O;O;N;O;N;N;N;N;N;N;N;N;O;N;0;F;(65,75];Marié;NA;7
O;O;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;2;F;(55,65];Marié;employé;4
O;O;O;N;O;N;O;O;O;O;N;N;O;O;O;O;N;2;F;(55,65];Marié;employé;13
N;O;N;N;N;O;N;O;N;N;N;O;N;O;N;O;N;2;F;[15,25];Marié;manoeuvre;7
N;O;N;O;N;N;O;N;O;N;N;N;N;N;N;O;N;3;F;(55,65];Divorcé;employé;6
N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;O;2;F;(65,75];Veuf;employé;2
O;O;N;N;N;O;O;N;N;N;N;O;O;N;N;O;N;1;M;[15,25];Seul;NA;8
O;N;O;N;N;N;O;N;N;N;N;N;O;O;N;O;N;2;F;(45,55];Marié;NA;7
N;O;O;N;N;O;N;O;O;N;N;O;N;O;N;N;N;4;F;(35,45];Marié;employé;8
N;O;O;N;N;O;O;O;O;N;N;N;O;O;N;N;N;3;M;(35,45];Marié;cadre;9
O;N;N;N;N;O;N;N;N;N;N;N;N;N;N;N;N;4;F;(25,35];Marié;employé;3
O;O;O;N;N;O;O;O;N;N;N;O;O;O;N;O;N;2;F;(35,45];Marié;employé;11
N;O;N;N;N;N;N;O;N;N;N;N;N;O;N;N;N;3;F;(45,55];Marié;employé;4
N;O;N;N;N;N;N;O;N;N;N;N;O;N;N;N;N;3;F;(45,55];Marié;autre;4
N;O;N;N;N;O;N;N;N;O;N;N;N;N;N;O;N;1;F;(35,45];Marié;ouvrier;5
O;O;N;N;N;O;N;O;N;O;N;O;O;O;N;O;O;2;M;(45,55];remarié;technicien;11
O;O;N;N;O;N;N;O;N;N;O;N;N;O;N;O;N;3;F;(45,55];remarié;employé;8
N;O;N;N;O;O;O;N;O;N;N;N;N;N;N;N;N;1;F;(45,55];Marié;ouvrier;6
N;N;N;N;N;N;N;O;N;N;O;N;N;O;N;N;N;0;F;(35,45];Marié;employé;3
O;O;N;N;O;N;N;O;N;N;N;O;O;O;N;O;O;4;M;(45,55];Marié;agent de maîtrise;10
N;O;N;O;O;N;N;O;O;N;O;O;N;O;O;O;N;4;F;(45,55];Marié;employé;11
O;O;N;N;O;N;N;O;O;N;N;N;O;N;N;O;N;3;M;(55,65];Marié;ouvrier;8
O;O;O;N;N;N;N;O;O;N;N;N;N;O;N;N;N;0;M;(55,65];Marié;manoeuvre;6
O;O;N;O;O;N;N;O;O;N;N;N;N;N;O;N;N;3;F;(45,55];Divorcé;manoeuvre;8
N;N;N;O;N;N;N;O;N;N;N;O;N;O;N;N;N;0;F;(45,55];Divorcé;technicien;4
N;N;O;N;N;N;N;O;O;N;N;O;O;O;N;N;O;2;M;(45,55];Marié;ouvrier;8
O;O;N;N;N;O;N;N;O;N;N;N;N;N;N;N;N;4;F;(25,35];Marié;employé;5
N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;O;O;4;F;(55,65];Marié;ouvrier;4
O;O;O;O;O;O;O;O;O;N;N;N;O;N;N;O;N;2;M;(25,35];Marié;cadre;12
O;O;O;N;O;O;O;N;O;N;N;N;O;O;N;N;N;4;M;[15,25];Seul;NA;10
O;O;O;N;N;N;O;O;N;N;N;N;O;N;N;N;N;3;M;(25,35];Seul;ouvrier;7
N;N;N;N;N;N;O;N;O;N;N;N;N;N;N;N;N;0;F;[15,25];Seul;employé;2
N;N;N;N;N;N;N;O;N;N;N;N;N;N;N;N;N;4;M;(35,45];Divorcé;ouvrier;2
O;O;N;N;N;N;O;O;O;N;N;N;N;O;N;N;O;2;F;(45,55];Marié;technicien;8
O;N;N;O;O;N;O;O;O;N;O;N;N;O;O;O;N;3;F;(45,55];Marié;employé;11
O;O;O;N;O;O;O;O;O;O;N;N;O;O;O;O;N;4;F;(35,45];Seul;agent de maîtrise;14
O;O;N;N;O;N;O;O;O;O;O;N;O;N;O;O;N;2;F;(55,65];Marié;employé;12
O;O;N;N;O;N;O;O;O;N;N;O;N;N;O;N;N;3;F;(55,65];Marié;agent de maîtrise;9
N;O;N;N;N;N;N;N;N;N;N;N;N;O;N;O;N;4;F;(65,75];Marié;NA;4
O;O;N;N;N;N;N;N;N;N;N;N;N;N;N;O;N;3;F;(85,100];Veuf;NA;4
O;N;N;N;N;N;O;N;N;N;N;N;N;O;N;N;N;0;M;(25,35];Marié;employé;3
N;O;O;N;N;N;N;N;N;N;N;N;O;N;N;O;N;3;F;(35,45];Marié;agent de maîtrise;5
O;O;O;N;N;N;N;O;N;N;N;N;N;O;O;O;N;4;F;(65,75];Marié;NA;8
N;O;N;N;N;O;N;O;N;N;O;O;N;O;N;O;O;4;F;(35,45];Marié;employé;9
N;O;O;O;N;O;O;O;O;N;N;N;O;N;N;O;N;2;F;(25,35];Marié;agent de maîtrise;10
O;O;O;O;O;O;O;O;O;N;N;N;N;N;N;O;N;1;F;(35,45];Marié;employé;11
O;O;N;N;N;N;N;N;N;O;N;N;N;O;N;N;N;4;F;(75,85];Veuf;NA;5
O;N;N;N;N;N;N;O;O;N;N;O;N;O;O;O;N;2;F;(55,65];Marié;employé;8
O;O;N;N;N;N;N;N;N;N;N;N;O;N;N;O;N;4;F;(65,75];Marié;technicien;5
O;N;N;N;O;N;N;O;N;N;N;N;O;O;N;N;N;0;M;(65,75];Divorcé;NA;5
N;O;O;N;O;O;N;O;N;O;N;N;N;N;N;N;N;3;F;(35,45];Marié;autre;7
O;O;N;N;N;N;N;O;N;N;N;N;N;O;O;O;N;2;F;(45,55];Marié;NA;7
O;O;N;N;O;N;N;O;O;N;N;N;N;O;N;O;N;4;F;(65,75];Marié;manoeuvre;8
O;O;O;O;O;O;O;N;N;O;N;N;O;O;N;N;N;2;F;(35,45];Marié;agent de maîtrise;11
O;O;O;N;O;O;O;O;N;O;N;N;O;N;O;O;N;0;F;(35,45];remarié;employé;11
O;O;O;N;O;N;N;O;O;N;N;O;N;O;O;O;N;4;F;(55,65];Marié;cadre;11
O;O;N;O;O;N;N;N;N;N;N;N;N;O;N;O;N;1;F;(45,55];Marié;cadre;7
O;N;O;N;O;O;N;O;O;N;N;N;N;N;N;O;N;3;F;(65,75];Veuf;NA;8
O;O;O;N;O;N;O;N;O;N;N;N;O;O;N;N;N;0;M;(45,55];remarié;cadre;8
O;O;N;N;N;N;N;O;O;O;O;O;O;N;N;N;N;2;M;(65,75];Marié;cadre;9
O;O;O;O;O;O;O;O;O;N;N;N;O;O;N;O;N;1;M;(45,55];Marié;cadre;13
N;N;N;N;N;O;N;O;N;N;N;N;O;O;N;N;O;4;M;(25,35];Marié;ouvrier;6
