Preserving the environnment is;Do scientific discoveries make life better ;Judicature;Do French society need to change;Sex;Level of education;Socio occupational category;Age
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;primary school;specialized worker;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;primary school;skilled manual worker;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;skilled manual worker;52
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;skilled manual worker;19
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty good;no;female;none;service personnel;62
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;undisclosed;18
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;undisclosed;22
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;university;undisclosed;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;bachelor;middle manager;33
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;primary school;middle manager;35
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;primary school;service personnel;65
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no opinion;male;none;specialized worker;75
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;skilled manual worker;69
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;70
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;no;male;none;other unskilled employee;66
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;liberal profession;38
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty good;no;female;bachelor;middle manager;28
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;male;bachelor;middle manager;29
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;bachelor;middle manager;48
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;university;other active worker;22
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;other skilled employee;19
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;other skilled employee;24
preserving env. is vey important;scientific discoveries make life much better;judiciary: not want to answer;yes;female;bachelor;other skilled employee;44
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;commerce worker;45
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;female;bachelor;other skilled employee;30
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;other skilled employee;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;34
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;bachelor;specialized worker;33
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;male;middle school;skilled manual worker;29
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;32
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;specialized worker;46
preserving env. is not important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;skilled manual worker;40
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;other unskilled employee;56
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;service personnel;38
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;primary school;specialized worker;51
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;undisclosed;21
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;bachelor;undisclosed;21
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;bachelor;unknown;22
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;female;bachelor;service personnel;32
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;60
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;university;tradesman;81
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;other unskilled employee;77
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;female;primary school;other skilled employee;64
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;foreman;57
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;female;primary school;specialized worker;78
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no opinion;male;university;senior manager;47
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;male;bachelor;middle manager;35
preserving env. is vey important;scientific discoveries do not make life better;judiciary: not want to answer;yes;male;bachelor;middle manager;36
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;bachelor;other skilled employee;26
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;other skilled employee;21
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;other unskilled employee;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;commerce worker;34
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;none;skilled manual worker;53
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;high school;skilled manual worker;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;43
preserving env. is low;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;service personnel;63
preserving env. is not important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;bachelor;undisclosed;20
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;undisclosed;18
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;university;undisclosed;20
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;female;middle school;undisclosed;86
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;undisclosed;42
preserving env. is low;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;bachelor;employer in industry and commerce;68
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;no opinion;male;university;middle manager;71
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;university;senior manager;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;bachelor;senior manager;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;university;liberal profession;27
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;male;university;liberal profession;40
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;university;senior manager;51
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;university;employer in industry and commerce;39
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;none;middle manager;68
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;middle manager;67
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;commerce worker;80
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;service personnel;76
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;university;other active worker;42
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;other;middle manager;33
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;female;none;middle manager;25
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;female;bachelor;middle manager;33
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;middle manager;48
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;bachelor;senior manager;68
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;female;middle school;other skilled employee;39
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;other unskilled employee;24
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty good;yes;male;primary school;other unskilled employee;26
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;middle manager;45
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;middle school;unskilled worker;62
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;no;female;middle school;commerce worker;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;no;male;bachelor;tradesman;26
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;university;senior manager;24
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;high school;middle manager;52
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;middle school;middle manager;23
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;primary school;other unskilled employee;50
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;middle school;commerce worker;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;specialized worker;55
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;male;primary school;skilled manual worker;52
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;middle school;skilled manual worker;35
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;male;primary school;foreman;39
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;specialized worker;45
preserving env. is quite important;scientific discoveries do not make life better;judiciary is very bad;yes;female;primary school;specialized worker;29
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;bachelor;undisclosed;18
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;commerce worker;25
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;bachelor;middle manager;26
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;none;undisclosed;45
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;other skilled employee;77
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;bachelor;middle manager;40
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;middle school;middle manager;70
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;other skilled employee;68
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;female;middle school;middle manager;53
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;no opinion;male;middle school;skilled manual worker;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;no opinion;male;bachelor;other active worker;56
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;specialized worker;28
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;bachelor;foreman;35
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;other unskilled employee;42
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;commerce worker;19
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;none;skilled manual worker;20
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;no opinion;female;primary school;skilled manual worker;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;35
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;primary school;specialized worker;30
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty good;no;female;primary school;service personnel;28
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;none;service personnel;48
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;undisclosed;19
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;bachelor;undisclosed;18
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;undisclosed;42
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;none;specialized worker;54
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;undisclosed;55
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: not want to answer;no opinion;female;none;specialized worker;65
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;skilled manual worker;66
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;primary school;farmer;41
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no opinion;male;university;tradesman;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;middle school;other skilled employee;31
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;other skilled employee;33
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;university;other unskilled employee;31
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;middle school;specialized worker;19
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;middle school;skilled manual worker;24
preserving env. is quite important;scientific discoveries make life: no answer;judiciary is pretty bad;yes;female;none;specialized worker;21
preserving env. is quite important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;skilled manual worker;36
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;specialized worker;40
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty good;no opinion;female;primary school;service personnel;44
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;primary school;skilled manual worker;28
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no opinion;female;primary school;other unskilled employee;75
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;other unskilled employee;56
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;undisclosed;36
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;undisclosed;55
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;bachelor;middle manager;22
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;high school;senior manager;71
preserving env. is quite important;scientific discoveries make life: no answer;judiciary is pretty bad;yes;female;primary school;specialized worker;71
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;none;middle manager;22
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;university;middle manager;28
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;tradesman;55
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;bachelor;foreman;29
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;university;other skilled employee;27
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;skilled manual worker;31
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;foreman;42
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;specialized worker;28
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;specialized worker;33
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;male;bachelor;middle manager;19
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;male;bachelor;middle manager;27
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;middle school;undisclosed;19
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;undisclosed;64
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;undisclosed;55
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;none;service personnel;21
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;primary school;other unskilled employee;34
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;none;skilled manual worker;41
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;no;female;primary school;undisclosed;42
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;primary school;farmer;66
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;middle school;foreman;66
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;middle school;other unskilled employee;31
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;primary school;other unskilled employee;51
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;university;senior manager;39
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;bachelor;middle manager;34
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;middle manager;40
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;none;commerce worker;29
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;32
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;none;skilled manual worker;24
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: no opinion;yes;female;primary school;specialized worker;28
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;primary school;skilled manual worker;44
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;44
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty good;no opinion;male;none;specialized worker;58
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very good;no;male;primary school;skilled manual worker;51
preserving env. is low;scientific discoveries do not make life better;judiciary is pretty bad;no opinion;female;none;skilled manual worker;22
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;bachelor;undisclosed;19
preserving env. is vey important;scientific discoveries do not make life better;judiciary: no opinion;yes;female;none;commerce worker;33
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;middle manager;36
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;none;specialized worker;34
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;specialized worker;29
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;undisclosed;30
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;female;primary school;commerce worker;71
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;primary school;undisclosed;80
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;primary school;unskilled worker;63
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;specialized worker;65
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty good;no;male;none;skilled manual worker;74
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;male;primary school;specialized worker;59
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;male;none;specialized worker;70
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty good;yes;male;none;specialized worker;66
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;other skilled employee;36
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;tradesman;54
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;university;senior manager;52
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;middle manager;58
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;middle manager;51
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;bachelor;other skilled employee;26
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: not want to answer;no opinion;female;middle school;craftsman;33
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;university;specialized worker;28
preserving env. is low;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;skilled manual worker;28
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;none;skilled manual worker;60
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;none;middle manager;30
preserving env. is vey important;scientific discoveries do not make life better;judiciary: no opinion;no;male;university;senior manager;61
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;university;undisclosed;24
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;yes;male;bachelor;undisclosed;22
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;university;undisclosed;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;specialized worker;25
preserving env. is quite important;scientific discoveries make life much better;judiciary: no opinion;yes;female;bachelor;middle manager;32
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;university;senior manager;50
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;bachelor;tradesman;49
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;undisclosed;77
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;primary school;tradesman;69
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no;male;university;senior manager;78
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: no opinion;no opinion;male;none;other unskilled employee;72
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;undisclosed;37
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;university;employer in industry and commerce;54
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no;male;university;senior manager;37
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;female;bachelor;middle manager;21
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;bachelor;middle manager;24
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;none;other skilled employee;51
preserving env. is vey important;scientific discoveries make life much better;judiciary: no opinion;no opinion;female;primary school;commerce worker;57
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;middle school;other unskilled employee;24
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;specialized worker;27
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;primary school;skilled manual worker;30
preserving env. is quite important;scientific discoveries do not make life better;judiciary is pretty bad;no opinion;female;none;unskilled worker;79
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;primary school;skilled manual worker;51
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;no opinion;male;none;specialized worker;20
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;no opinion;male;none;foreman;47
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;other skilled employee;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;bachelor;undisclosed;18
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;no;male;bachelor;undisclosed;21
preserving env. is not important;scientific discoveries do not make life better;judiciary is pretty bad;yes;female;primary school;other unskilled employee;79
preserving env. is low;scientific discoveries make life a little bit better;judiciary: no opinion;no;female;none;specialized worker;53
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;other;undisclosed;53
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;none;specialized worker;44
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no;female;none;service personnel;26
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;yes;female;primary school;other unskilled employee;69
preserving env. is low;scientific discoveries do not make life better;judiciary: no opinion;no opinion;female;primary school;skilled manual worker;63
preserving env. is not important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;skilled manual worker;72
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;none;other unskilled employee;55
preserving env. is not important;scientific discoveries do not make life better;judiciary is pretty bad;yes;male;primary school;craftsman;58
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary: not want to answer;yes;female;university;senior manager;40
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;yes;male;bachelor;middle manager;52
preserving env. is quite important;scientific discoveries make life much better;judiciary is pretty bad;no;female;university;middle manager;30
preserving env. is low;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;commerce worker;41
preserving env. is vey important;scientific discoveries make life much better;judiciary is very bad;yes;female;none;other skilled employee;36
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;none;other unskilled employee;30
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;primary school;skilled manual worker;39
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very good;no;male;none;skilled manual worker;23
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;specialized worker;21
preserving env. is not important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;primary school;skilled manual worker;25
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;male;primary school;specialized worker;44
preserving env. is low;scientific discoveries make life much better;judiciary is pretty good;yes;male;none;skilled manual worker;19
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;male;none;skilled manual worker;51
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;service personnel;40
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;yes;female;primary school;service personnel;23
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;male;bachelor;undisclosed;22
preserving env. is low;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;service personnel;49
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;female;none;service personnel;26
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;skilled manual worker;23
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;middle school;middle manager;28
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary: not want to answer;no;female;primary school;skilled manual worker;30
preserving env. is low;scientific discoveries do not make life better;judiciary is pretty bad;no opinion;female;none;specialized worker;66
preserving env. is quite important;scientific discoveries do not make life better;judiciary is very bad;yes;male;none;tradesman;73
preserving env. is vey important;scientific discoveries do not make life better;judiciary is very bad;no;female;none;skilled manual worker;70
preserving env. is vey important;scientific discoveries do not make life better;judiciary is pretty good;yes;male;bachelor;middle manager;70
preserving env. is not important;scientific discoveries do not make life better;judiciary is pretty good;no;male;university;senior manager;24
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty good;yes;male;bachelor;other unskilled employee;28
preserving env. is quite important;scientific discoveries make life much better;judiciary is very bad;yes;male;primary school;specialized worker;45
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty bad;yes;male;middle school;skilled manual worker;30
preserving env. is vey important;scientific discoveries make life much better;judiciary is pretty good;yes;male;middle school;other unskilled employee;33
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is pretty bad;no opinion;female;primary school;service personnel;62
preserving env. is vey important;scientific discoveries make life a little bit better;judiciary is very bad;no opinion;female;primary school;skilled manual worker;29
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty good;no opinion;female;middle school;undisclosed;31
preserving env. is quite important;scientific discoveries make life a little bit better;judiciary is pretty bad;yes;female;primary school;undisclosed;41
